route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
T,DPMP,T,,,3,,,,,,
R,DPMP,R,,,3,,,,,,
P,DPMP,P,,,3,,,,,,
N1,DPMP,N1,,,3,,,,,,
J,DPMP,J,,,3,,,,,,
K,DPMP,K,,,3,,,,,,
E,DPMP,E,,,3,,,,,,
A,DPMP,A,,,3,,,,,,
8,DPMP,8,,,11,,,,,,
5D,DPMP,5D,,,11,,,,,,
S,DPMP,S,,,3,,,,,,
M,DPMP,M,,,3,,,,,,
5,DPMP,5,,,11,,,,,,
46,DPMP,46,,,3,,,,,,
43,DPMP,43,,,3,,,,,,
C,DPMP,C,,,3,,,,,,
42,DPMP,42,,,3,,,,,,
N2,DPMP,N2,,,3,,,,,,
4,DPMP,4,,,11,,,,,,
2,DPMP,2,,,11,,,,,,
F,DPMP,F,,,3,,,,,,
19,DPMP,19,,,3,,,,,,
1A,DPMP,1A,,,3,,,,,,
17,DPMP,17,,,3,,,,,,
41,DPMP,41,,,3,,,,,,
28,DPMP,28,,,3,,,,,,
37,DPMP,37,,,3,,,,,,
H,DPMP,H,,,3,,,,,,
13,DPMP,13,,,3,,,,,,
15,DPMP,15,,,3,,,,,,
29,DPMP,29,,,3,,,,,,
44,DPMP,44,,,3,,,,,,
12,DPMP,12,,,3,,,,,,
39,DPMP,39,,,3,,,,,,
11,DPMP,11,,,3,,,,,,
18,DPMP,18,,,3,,,,,,
7,DPMP,7,,,11,,,,,,
10,DPMP,10,,,3,,,,,,
22,DPMP,22,,,3,,,,,,
21,DPMP,21,,,3,,,,,,
23,DPMP,23,,,3,,,,,,
24,DPMP,24,,,3,,,,,,
45,DPMP,45,,,3,,,,,,
30,DPMP,30,,,3,,,,,,
26,DPMP,26,,,3,,,,,,
32,DPMP,32,,,3,,,,,,
32A,DPMP,32A,,,3,,,,,,
33,DPMP,33,,,3,,,,,,
14,DPMP,14,,,3,,,,,,
34,DPMP,34,,,3,,,,,,
27,DPMP,27,,,3,,,,,,
35,DPMP,35,,,3,,,,,,
D,DPMP,D,,,3,,,,,,
1,DPMP,1,,,11,,,,,,
36,DPMP,36,,,3,,,,,,
38,DPMP,38,,,11,,,,,,
