stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
1,,Trojica,,49.00021,21.2393,1,,0,,,0,,
2,,Na Hlavnej,,48.99567,21.242121,1,,0,,,0,,
4,,Čierny most,,48.9897,21.246929,1,,0,,,0,,
7,,Nový Solivar  *,,48.97847,21.251301,1,,0,,,0,,
8,,Košická  *,,48.973,21.25285,1,,0,,,0,,
9,,ZVL  *,,48.968601,21.251499,1,,0,,,0,,
10,,Čistička  *,,48.96526,21.247419,1,,0,,,0,,
11,,Priecestie  *,,48.957371,21.24115,2,,0,,,0,,
12,,Lemešianska  *,,48.955608,21.240761,2,,0,,,0,,
13,,Haniska,,48.9533,21.241261,2,,0,,,0,,
14,,Petrovianska  *,,48.959332,21.256861,1,,0,,,0,,
16,,Logistické centrum  *,,48.95113,21.26199,1,,0,,,0,,
17,,Rázc.Záborské  *,,48.947079,21.28793,2,,0,,,0,,
18,,Záborské-stred  *,,48.944809,21.289391,2,,0,,,0,,
19,,Záborské,,48.942421,21.287849,2,,0,,,0,,
20,,Jilemnického  *,,48.976349,21.246,1,,0,,,0,,
21,,Budovateľská,,48.97665,21.24436,1,,0,,,0,,
22,,Pekárne  *,,48.979279,21.24415,1,,0,,,0,,
23,,Priemyselné centrum  *,,48.981861,21.24366,1,,0,,,0,,
24,,Štúrova  *,,48.98608,21.24292,1,,0,,,0,,
25,,Škultétyho,,48.98661,21.24173,1,,0,,,0,,
27,,Pod Kamennou baňou  *,,48.983521,21.23291,1,,0,,,0,,
28,,Vajanského  *,,49.00164,21.24275,1,,0,,,0,,
29,,Horárska  *,,48.986099,21.226151,1,,0,,,0,,
30,,Hôrka  *,,48.98328,21.21771,1,,0,,,0,,
31,,Za Kalváriou,,48.98122,21.217279,1,,0,,,0,,
32,,Zimný štadión  *,,48.987511,21.229561,1,,0,,,0,,
33,,Pod Kalváriou  *,,48.990959,21.229679,1,,0,,,0,,
34,,Záhradkárska osada  *,,48.985668,21.221109,1,,0,,,0,,
35,,Železničná stanica,,48.984299,21.249901,1,,0,,,0,,
36,,Sibírska,,49.001011,21.27244,1,,0,,,0,,
37,,Lesnícka,,48.978828,21.263729,1,,0,,,0,,
38,,Pavla Horova,,48.98373,21.26354,1,,0,,,0,,
39,,Martina Benku,,48.987011,21.26433,1,,0,,,0,,
40,,Jurkovičova,,48.9939,21.26737,1,,0,,,0,,
41,,Karpatská,,48.996159,21.26919,1,,0,,,0,,
42,,Nižné lúky  *,,48.993141,21.258631,1,,0,,,0,,
43,,Pod Táborom  *,,48.992062,21.252501,1,,0,,,0,,
44,,Laca Novomeského,,48.990238,21.26689,1,,0,,,0,,
45,,Vansovej,,48.992039,21.27113,1,,0,,,0,,
46,,Pod Šalgovíkom,,48.993561,21.275579,1,,0,,,0,,
48,,Hruny  *,,48.9949,21.281811,1,,0,,,0,,
49,,Sordok  *,,49.044369,21.21644,2,,0,,,0,,
50,,Šalgovík  *,,48.996868,21.28735,1,,0,,,0,,
51,,Kysucká  *,,48.98455,21.27298,1,,0,,,0,,
52,,Kukučínova  *,,48.981419,21.2743,1,,0,,,0,,
53,,Solivarská  *,,48.977409,21.265249,1,,0,,,0,,
54,,Bohúňova  *,,48.978828,21.27121,1,,0,,,0,,
55,,Múzeum Solivar *,,48.979439,21.274229,1,,0,,,0,,
56,,Solivar,,48.978168,21.276899,1,,0,,,0,,
57,,Soľnobanská  *,,48.982101,21.279619,1,,0,,,0,,
58,,Rázc.Teriakovce  *,,48.991119,21.301769,2,,0,,,0,,
59,,OcÚ Teriakovce  *,,48.990631,21.3088,2,,0,,,0,,
60,,Teriakovce,,48.98999,21.311769,2,,0,,,0,,
61,,Lomnická,,48.974091,21.261721,1,,0,,,0,,
62,,Švábska,,48.97126,21.258511,1,,0,,,0,,
64,,Pionierska  *,,48.96907,21.25704,1,,0,,,0,,
65,,Jesenná  *,,48.96674,21.25635,1,,0,,,0,,
66,,Jelšová  *,,48.96315,21.25848,1,,0,,,0,,
67,,Delňa,,48.960781,21.260281,1,,0,,,0,,
68,,Pri zámočku  *,,48.977829,21.319241,2,,0,,,0,,
69,,Na Záhumní  *,,48.977779,21.32408,2,,0,,,0,,
70,,Hulica  *,,48.979351,21.327801,2,,0,,,0,,
71,,Ruská Nová Ves,,48.978149,21.333401,2,,0,,,0,,
72,,Záhradky  *,,48.981461,21.288601,1,,0,,,0,,
73,,Cintorín Solivar *,,48.974319,21.269199,1,,0,,,0,,
74,,Na brehu  *,,48.973301,21.273701,1,,0,,,0,,
76,,Zlatobanská  *,,48.970249,21.278851,1,,0,,,0,,
77,,Nižná Šebastová,,49.024799,21.286221,1,,0,,,0,,
78,,Duklianska  *,,49.003181,21.243349,1,,0,,,0,,
79,,Rázcestie Kúty  *,,49.008041,21.24972,1,,0,,,0,,
80,,Dopravný podnik  *,,49.010818,21.258289,1,,0,,,0,,
81,,Šarišské Lúky  *,,49.01791,21.271879,1,,0,,,0,,
82,,Vranovská  *,,49.021061,21.27623,1,,0,,,0,,
83,,Pažica  *,,49.022999,21.28089,1,,0,,,0,,
