route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
13,1382_PD,1382_1,PODHRADÍK SEVERNÁ,,1,,259130,0,0
8,1382_SO,1382_10,Sibírska,,1,,259019,0,0
2,1382_SO,1382_100,Obrancov mieru,,0,,258965,0,0
26,1382_NE,1382_1000,Petrovianska,,1,,259358,0,0
32,1382_SO,1382_10008,Sibírska,,1,,259428,0,0
32,1382_SO,1382_10009,Trojica-Cemjata,,0,,259424,0,0
21,1382_NE,1382_1001,Fintice,,1,,259279,0,0
32,1382_SO,1382_10010,Sibírska,,1,,259428,0,0
32,1382_SO,1382_10011,Trojica-Cemjata,,0,,259424,0,0
32,1382_SO,1382_10012,Sibírska,,1,,259428,0,0
32,1382_SO,1382_10013,Trojica-Cemjata,,0,,259424,0,0
32,1382_SO,1382_10014,Trojica-Cemjata,,0,,259424,0,0
32,1382_SO,1382_10015,Trojica-Cemjata,,0,,259424,0,0
32,1382_SO,1382_10016,Trojica-Cemjata,,0,,259424,0,0
32,1382_SO,1382_10017,Sibírska,,1,,259428,0,0
32,1382_SO,1382_10018,Sibírska,,1,,259428,0,0
32,1382_SO,1382_10019,Sibírska,,1,,259428,0,0
21,1382_NE,1382_1002,Šarišské Lúky,,0,,259281,0,0
22,1382_SO,1382_1003,Šidlovec,,0,,259295,0,0
23,1382_NE,1382_1004,Malý Šariš,,1,,259327,0,0
23,1382_NE,1382_1005,Poliklinika,,0,,259325,0,0
23,1382_PD,1382_1006,Októbrová-Trojica-Nemocnica,,0,,259331,0,0
23,1382_PD,1382_1007,Trojica,,0,,259322,0,0
14,1382_SO,1382_10071,Čierny most,,0,,259180,0,0
23,1382_PD,1382_1008,Trojica,,0,,259322,0,0
23,1382_PD,1382_1009,Malý Šariš,,1,,259330,0,0
28,1382_NE,1382_10097,Ľubotice,,0,,259393,0,0
28,1382_SO,1382_10099,Ľubotice,,0,,259393,0,0
2,1382_SO,1382_101,Obrancov mieru,,0,,258965,0,0
38,1382_SO,1382_1010,Sibírska,,1,,259488,0,0
28,1382_SO,1382_10100,Ľubotice,,0,,259383,0,0
23,1382_PD,1382_1011,Trojica,,0,,259322,0,0
28,1382_NE,1382_10112,Nižnianska,,1,,259390,0,0
23,1382_PD,1382_1012,Trojica,,0,,259322,0,0
38,1382_SO,1382_1013,Sibírska,,1,,259488,0,0
38,1382_SO,1382_1015,Sibírska,,1,,259488,0,0
19,1382_NE,1382_10152,Solivar,,1,,259267,0,0
23,1382_PD,1382_1016,Trojica,,0,,259322,0,0
23,1382_PD,1382_1017,Trojica,,0,,259322,0,0
23,1382_PD,1382_1018,Trojica,,0,,259322,0,0
38,1382_SO,1382_1019,Sibírska,,1,,259488,0,0
5,1382_PD,1382_102,Obrancov mieru,,1,,258992,0,0
23,1382_PD,1382_1020,Trojica,,0,,259326,0,0
38,1382_SO,1382_1021,Sibírska,,1,,259488,0,0
23,1382_PD,1382_1022,Trojica,,0,,259322,0,0
23,1382_PD,1382_1023,Trojica,,0,,259322,0,0
